Topic,Word,Weight
0,lobstermen territorial,0.73900753
0,lobstermen want,0.580724
0,idea lobstermen,0.5513441
0,congested lobstermen,0.5468248
0,sharing territory,0.53033584
0,closed lobstermen,0.47580245
0,lobstermen,0.4694628
0,lobstermen open,0.46236873
0,establish territory,0.39327785
0,thinks lobsters,0.39134493
1,lobstermen,0.5661366
1,areas lobsters,0.53878653
1,lobstering,0.49399
1,fished area,0.42302835
1,fish area,0.368555
1,fishing grounds,0.34962487
1,fishing,0.34590933
1,sharing territory,0.311306
1,traps,0.23873022
1,territory,0.23656401
2,accommodate fishermen,0.41226172
2,fish areas,0.40548167
2,declining territory,0.37075427
2,established territory,0.36622941
2,territory,0.34357396
2,traps peoples,0.315346
2,bomb fishery,0.31390774
2,fishery cut,0.3126418
2,peoples traps,0.2953565
2,fishes inshore,0.26738018
3,territory fish,0.4427172
3,ocean people,0.3841523
3,fish lot,0.3268694
3,need territory,0.3115027
3,people fish,0.289701
3,territory,0.28755066
3,big ocean,0.2796648
3,fish,0.26243752
3,ocean,0.258941
3,guys wouldn,0.24641672
